FLUX,X_IMAGE,Y_IMAGE,RA,DEC,MATCHED,SEPARATION,GAIA_MAG,CALCULATED_MAG,FLUX_MAG_MATCHED,XYM_MATCHED,ANY_MATCHED
9719.591,14154.0166,114.4993,17.46329279171169,61.74426737761509,1,7.952614432528189,18.553062,16.214812017512617,0,0,0
16750.65,14733.917,113.8843,17.565070835009344,61.74329823922334,1,5.107538888705132,19.992994,15.658067216665204,0,0,0
13643.94,8671.3564,117.3776,16.500748228962767,61.74944308011231,1,3.1869591158853927,20.082142,15.86790163912691,0,0,0
817214.6,8200.1074,48.9417,16.417975198576514,61.74386368198604,1,0.333163268806347,21.03793,13.226690867348848,0,0,0
5721.15,9339.1348,124.1131,16.61800791746324,61.74976366527774,1,5.866914976034621,20.708479,16.75690941888039,0,0,0
4222.968,12665.7188,126.9939,17.202076675609398,61.74731519747312,1,3.8719116946927,21.042969,17.067486942040514,0,0,0
4385.07,14528.2236,130.586,17.529026801930737,61.745020363349205,1,2.537300106653422,19.11751,17.028957870718035,0,0,0
1142508.0,12758.9189,56.2482,17.21825667103163,61.74132487289325,1,1.5061770650634865,17.645132,13.100599403601416,0,0,0
21361.98,6652.8364,124.0658,16.146315490872993,61.75011159519635,1,1.6206712231074512,15.094037,15.409328679634047,1,0,1
7078.067,9312.2705,132.4995,16.61329858321604,61.75047222391687,1,6.9373907790891804,13.582972,16.539209675839526,0,0,0
13018.05,8203.8984,133.3862,16.41867400678549,61.75088127633253,1,2.9946140110578963,20.069637,15.91593447690516,0,0,0
87020.38,14676.915,101.6466,17.555023994734515,61.74237495422316,1,1.2276990093498203,14.89323,14.206352579506149,1,1,1
17459.58,5659.9004,134.6638,15.971958729475826,61.75071127758516,1,7.807897075551254,20.459705,15.615667540685322,0,0,0
59699.21,5711.3223,135.2595,15.980987459354246,61.750780792376,1,5.888457158976869,19.631979,14.358112760093787,0,0,0
32915.88,5740.3423,135.0629,15.986083270223563,61.75077548103764,1,5.729615198102676,18.873915,14.967095888337678,0,0,0
9413.41,12775.8467,133.1058,17.22142571234149,61.74769150388957,1,3.701440206926752,18.047735,16.24755251078241,0,0,0
53062.35,8371.4326,128.3237,16.448090120986187,61.75042758189234,1,5.305375805876094,14.873792,14.478659877194032,1,0,1
39595.32,5777.0532,135.8402,15.992528791639977,61.75085376136089,1,4.382400712660491,16.700434,14.778113697130069,0,0,0
6448.861,11052.8779,138.5035,16.91893696155774,61.74988617450562,1,4.153441672698667,17.984919,16.634436695030605,0,0,0
8173.576,6172.2515,137.316,16.061922034823617,61.75110446857661,1,7.118432231875758,16.503782,16.392012020901586,1,0,1
49350.68,5790.0771,135.7982,15.994815714690136,61.75085505083524,1,1.8278461388427387,16.700434,14.552834850032111,0,0,0
15905.29,9301.5781,131.5646,16.61142021270821,61.75039908063279,1,5.348010479527418,13.582972,15.711037164222288,0,0,0
78224.59,5594.6973,139.2958,15.960505753961176,61.75107001665449,1,6.686713487230498,20.381613,14.26130891450269,0,0,0
17572.86,5559.7173,143.4571,15.95435992639288,61.75140139670496,1,5.354921625806445,18.843493,15.609052426185729,0,0,0
8419.182,11223.7041,139.0809,16.948931832244114,61.74979090135252,1,2.9675685374490826,19.32269,16.361728587474737,0,0,0
290708.4,9299.1582,31.2097,16.610903290245524,61.74205958997842,1,4.209684207443892,14.365609,13.644312783791172,1,0,1
13194.26,6229.1245,144.3722,16.071904780163266,61.75170644674153,1,6.0319981759787895,18.926996,15.90218187738422,0,0,0
78513.28,13373.9375,108.6046,17.3263503825306,61.74489299878822,1,6.173015047309642,19.013058,14.259391460514802,0,0,0
4227.405,14351.1631,145.5002,17.497998560251325,61.74653981668462,1,2.574365399147544,19.233925,17.066412787946575,0,0,0
7667.633,6298.7959,147.897,16.08413717742065,61.75201743392371,1,5.154871989393128,20.522762,16.457372315449824,0,0,0
11278.84,7403.5464,143.6779,16.278134390754094,61.75180681151723,1,1.8075961439938453,21.136232,16.062623545499893,0,0,0
6277.46,10247.4189,148.6565,16.777523606697386,61.75131690215026,1,2.7958781229004326,18.19183,16.661991017582505,0,0,0
104362.5,9294.6182,117.8469,16.61018555603052,61.749261949454144,1,1.5954538550705464,13.582972,14.114944380855626,1,0,1
96171.66,11643.4189,127.8949,17.02260158307122,61.74848138065735,1,1.3795807103546822,14.311713,14.155708407967367,1,1,1
13977.24,10916.2061,137.6108,16.894938268206477,61.74992186767441,1,1.352572708714698,15.116336,15.843214704645446,1,1,1
18081.56,12678.4346,146.0983,17.2043572985159,61.748887767734,1,1.0479281816419783,19.722277,15.579862645542567,0,0,0
363117.3,11665.6113,98.0375,17.02643680660319,61.74597886738835,1,0.9143788646560048,19.468742,13.55032359635058,0,1,1
4763.848,8154.5977,154.2087,16.41002465480794,61.75262035052647,1,6.488734814816128,20.587389,16.944212431984596,0,0,0
